username,password,firstname,lastname,email,course1,role1
student1, T@jneH@$l0, Student1, Student, student1@example.com, testCourse, 5
student2, T@jneH@$l0, Student2, Student, student2@example.com, testCourse, 5
student3, T@jneH@$l0, Student3, Student, student3@example.com, testCourse, 5
student4, T@jneH@$l0, Student4, Student, student4@example.com, testCourse, 5
student5, T@jneH@$l0, Student5, Student, student5@example.com, testCourse, 5
student6, T@jneH@$l0, Student6, Student, student6@example.com, testCourse, 5
student7, T@jneH@$l0, Student7, Student, student7@example.com, testCourse, 5
student8, T@jneH@$l0, Student8, Student, student8@example.com, testCourse, 5
student9, T@jneH@$l0, Student9, Student, student9@example.com, testCourse, 5
student10, T@jneH@$l0, Student10, Student, student10@example.com, testCourse, 5
student11, T@jneH@$l0, Student11, Student, student11@example.com, testCourse, 5
student12, T@jneH@$l0, Student12, Student, student12@example.com, testCourse, 5
student13, T@jneH@$l0, Student13, Student, student13@example.com, testCourse, 5
student14, T@jneH@$l0, Student14, Student, student14@example.com, testCourse, 5
student15, T@jneH@$l0, Student15, Student, student15@example.com, testCourse, 5
student16, T@jneH@$l0, Student16, Student, student16@example.com, testCourse, 5
student17, T@jneH@$l0, Student17, Student, student17@example.com, testCourse, 5
student18, T@jneH@$l0, Student18, Student, student18@example.com, testCourse, 5
student19, T@jneH@$l0, Student19, Student, student19@example.com, testCourse, 5
student20, T@jneH@$l0, Student20, Student, student20@example.com, testCourse, 5
student21, T@jneH@$l0, Student21, Student, student21@example.com, testCourse, 5
student22, T@jneH@$l0, Student22, Student, student22@example.com, testCourse, 5
student23, T@jneH@$l0, Student23, Student, student23@example.com, testCourse, 5
student24, T@jneH@$l0, Student24, Student, student24@example.com, testCourse, 5
student25, T@jneH@$l0, Student25, Student, student25@example.com, testCourse, 5
student26, T@jneH@$l0, Student26, Student, student26@example.com, testCourse, 5
student27, T@jneH@$l0, Student27, Student, student27@example.com, testCourse, 5
student28, T@jneH@$l0, Student28, Student, student28@example.com, testCourse, 5
student29, T@jneH@$l0, Student29, Student, student29@example.com, testCourse, 5
student30, T@jneH@$l0, Student30, Student, student30@example.com, testCourse, 5
student31, T@jneH@$l0, Student31, Student, student31@example.com, testCourse, 5
student32, T@jneH@$l0, Student32, Student, student32@example.com, testCourse, 5
student33, T@jneH@$l0, Student33, Student, student33@example.com, testCourse, 5
student34, T@jneH@$l0, Student34, Student, student34@example.com, testCourse, 5
student35, T@jneH@$l0, Student35, Student, student35@example.com, testCourse, 5
